Year,Order,Level,Award,Name,Citation,County
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Peter Giles WEST ,"Commercial Manager, Great Western Franchise, Department for Transport. For services to the Rail Industry.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Deborah Ann WESTON ,"Associate Senior Leadership Team Member, Mulberry School for Girls, London. For services to Religious Education and Inter- and Intra-faith Relations.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Mark Steven WHITE ,For services to Education particularly in Teesside.,Durham
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Edward John WHITING ,"Deputy Principal Private Secretary, Prime Minister's Office.  For public service and services to No. 10 Downing Street.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Carolyn Ann WILKINS ,"Chief Executive, Oldham Council.  For services to Local Government and Public Sector Reform.",Derbyshire
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Claire WILLIAMS ,"Deputy Team Principal, Williams Martini Racing Team. For services to Formula 1 Racing.",Oxfordshire
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Paul WILLIAMSON ,"Lately Keeper of Sculpture, Metalwork, Ceramics and Glass, V&A. For services to Medieval Art.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Ingrid WOLFE (MRS HORTON) ,"Director, Evelina London Child Health Programme. For services to Child Health and Care.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Sarah WOOD ,"Co-founder and co-Chief Executive Officer, Unruly. For services to Innovation and Technology.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Deborah Jane WOSSKOW ,"Founder and Chief Executive, Love Home Swap.  For services to Business.",London
2016,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Diana Rosemary YAKELEY ,For services to the UK Interior Design Profession.,London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Harriet Eva ACKUNSON ,"Lately HEO, Faith and Integration, Department for Communities and Local Government.  For services to Faith Groups.",Kent
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Laurie ADAMS ,"Group Manager, Devon and Somerset Fire and Rescue Service.  For services to Flood Capability Policy and Rescue Services.",Devon
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Roger Charles AGOMBAR ,"Lately Consultant, Department for Transport.  For services to Tackling Drink and Drug Driving.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Amanda ALDOUS ,"Founder, Hackwood Art Festival.  For services to the Arts.",Hampshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mohammed ALI ,Street Artist. For services to Art and Community Cohesion.,West Midlands
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Michael Joseph ALLURED ,"Policy Adviser, Children in Care, Children's Services and Departmental Strategy Directorate, Department for Education.  For services to Education and to charity.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Deborah ALSINA-ANDERSON ,"Chief Executive, Bowel Cancer UK. For services to Bowel Cancer Patients.",Gloucestershire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mohammed AMIN ,"Founder Member and Co-Chair, Muslim Jewish Forum of Greater Manchester. For services to Community Cohesion and Inter-faith Relations in Greater Manchester.",Greater Manchester
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Watt ANDERSON ,"For services to charity in Fraserburgh, Aberdeenshire.",Aberdeenshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Rachel Paula ANDERSON ,For services to Gender Equality in Football.,Essex
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David ASHTON ,"For services to the Church of England and the community in Batley, West Yorkshire.",West Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Ruth ATKINSON ,"Communities Director, Eden District Council. For services to Local Government.",Cumbria
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William James BAILIE ,"Senior Professional Technical Officer (Deputy Principal), Northern Ireland Executive. For services to the Justice Department and Development of the Prison Estate.",County Down
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Jonathan BAINES ,"Senior Executive Officer, Ministry of Defence. For services to Defence.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Julian Huw BAINES ,"Chief Executive Officer, EKF Diagnostics. For services to the Life Sciences Industry.",South Glamorgan
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Charles BALL ,"Technician, Urban Search and Rescue, Essex County Fire and Rescue Service.  For services to National and International Search and Rescue.",Suffolk
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Ellen (Elly) BARNES ,"Founder and Chief Executive, Educate & Celebrate. For services to Equality and Diversity.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Tracy BARNETT ,"Member, Diversity Steering Group, Royal Mail. For services to Royal Mail and voluntary service in the UK and Abroad.",East Sussex
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John George BARON ,"HOLMES Coordinator, Greater Manchester Police. For services to the Police.",Lancashire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Felix BARRETT ,"Founder and Artistic Director, Punchdrunk. For services to Drama.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David John BATCHELOR ,"Senior Executive Officer, Ministry of Defence.  For services in Support of the Drawdown of the Military Estate in Germany.",Lincolnshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Rikki BEADLE-BLAIR ,"Playwright, Director and Screenwriter.  For services to Drama.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elizabeth Ann BELL ,"Vice Chair, South Antrim Community Transport.  For voluntary service to Community Transport.",Antrim
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Alice BENTINCK ,"Co-founder, Entrepreneur First.  For services to Business.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Margaret Ann BERSEY ,"Social Worker and Team Manager, Plymouth City Council. For services to Children and Families.",Cornwall
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Deborah BESTWICK ,"Co-founder, Team17. For services to the Video Games Industry.",Nottinghamshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Caryl Suzanne BILLINGHAM ,"For services to the community in Brackley, Northamptonshire.",Northamptonshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Susan Mary BIRD ,"Consultant Acoustic Engineer and lately Partner, Bird Acoustics. For services to Engineering and Women in Engineering in the UK and Abroad.",Buckinghamshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Heather MacQueen BISSET JP,"Lately President, Gordon County Girl Guides.  For services to the Guiding Movement and the community in Aberdeenshire.",Aberdeenshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William Edward BLACKLEDGE ,For services to North West in Bloom.,Lancashire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr James Miller BLAIR ,"Principal Conductor and Artistic Director, Young Musicians Symphony Orchestra. For services to Music.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Nigel David BLAIR ,"Founder and Trustee, Eikon Charity. For services to Young People in Surrey.",Surrey
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Davina Paola BLAKE ,"Executive Officer, Department for Work and Pensions.  For services to Jobseekers and the community in South London.",Surrey
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Nigel Graham BLISS ,"Director, Finance and Operations, Liberal Democrats. For political and public service.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,EurIng Andrew Graeme BLYTH ,For services to the Maritime Industry and Maritime Safety.,Hampshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Stephen Eric BOLD FRENG,"For services to Engineering, Education and to Charity.",Oxfordshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jacqueline Dawn BONFIELD ,For services to the Promotion of Diversity in Engineering.,Hertfordshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Stephen BOSTWICK ,For services to Education and the community in Barnsley and charitable services to the Fire Service Benevolent Fund.,South Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Adrian Mark BOWATER ,"Member, Academies Finance and Assurance Steering Group, Education Funding Agency and Director of Finance, Walsall Academy. For services to Education.",West Midlands
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Carol BRADY ,"Chair, Chartered Trading Standards Institute Board. For services to Consumers and Better Regulation.",Derbyshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stuart Christopher John BROAD ,For services to Cricket.,London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elizabeth BROOKER ,"Road Safety and Sustainable Transport Manager, London Borough of Lewisham. For services to Road Safety.",Kent
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Keith Charles BROWN ,"Chair of Governors, College of North East London.  For services to Further Education.",Hertfordshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elizabeth BROWNE ,"Lately Paediatric Nurse, Ulster Hospital. For services to Healthcare.",Down
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Dudley Alan BRYANT ,For political service.,Lincolnshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Robin Harold BUCKLAND ,"Founder, The Children's Holiday Foundation Charity, North Devon. For services to Children.",Devon
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret BURNS JP,"Contact Centre Manager, Peterlee Contact Centre, HM Revenue and Customs, Peterlee. For services to Benefit Recipients and to the community in Tyne and Wear.",Tyne and Wear
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Robert BURNS ,For services to charity and the community in Somerset.,Somerset
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mike BUTCHER ,"Editor-at-Large, TechCrunch. For services to Technology and Journalism.",Surrey
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Sarah Frances BYFORD JP,For voluntary services to Grassland Societies and Rural Communities.,Monmouthshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Kathleen Frances BYRNE ,"Lately Commissioner, Royal Commission on the Ancient and Historical Monuments of Scotland.  For services to Heritage Information.",Midlothian
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Anna CAMPBELL ,"Founder, CanRehab.  For services to Research into Exercise-Based Cancer Rehabilitation Services.",Perth and Kinross
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Robert Menzies CAMPBELL ,"Volunteer, VSO. For services to International Development.",North Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stephen Robert CANNON ,"Consultant Orthopaedic Surgeon and Chair, Skeletal Cancer Action Trust. For services to Orthopaedics.",Buckinghamshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Patrick Matthew CARRAGHER ,For services to the Coal Industry and Mining Communities.,Nottinghamshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Lady Joan CATTO DL,"Chair, Voluntary Services Aberdeen.  For services to Disadvantaged Children and Young Adults in Scotland.",Aberdeen
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Hitesh CHANDARANA ,"Assistant Officer, Personal Tax Operations, HM Revenue and Customs.  For services to Tax Compliance.",Leicestershire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Philip Arthur CHAPMAN JP,"Magistrate and Representative for Digitalisation, HM Court and Tribunal Service. For voluntary services to the Administration of Justice.",Hampshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire, Sylvia Jean CHEATER ,"Chair, Cheshire Women of the Year. For services to Women and the community in Cheshire.",Merseyside
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Chukwu-Emeka Philip Fergusson CHIKEZIE ,"Co-founder, African Foundation for Development.  For services to African Diaspora Groups in the UK.",
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Andrew CHILD ,"Chair of Governors, High Storrs School, Sheffield.  For services to Education.",South Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Peter Robert CHISHOLM ,"Deputy Headteacher, Warden Park School, Cuckfield.  For services to Education and Charity Fundraising and Sport for Young People.",West Sussex
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Taiyabur Rahman CHOWDHURY ,"Lately Adoption Social Worker, Bradford City Council. For services to Children and Families.",West Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas John CLARK ,"For services to the RNLI and to the British Sub-Aqua Club in Scarborough, North Yorkshire.",North Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Rosemary Grace Elizabeth CLEAVE ,"Fundraiser and Chair, Huddersfield Branch, NSPCC. For services to Children.",West Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Catherine Alice CLELLAND ,For services to the community in West Yorkshire.,North Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stephen Martin CLEMENT ,"Lately Senior Investigation Officer, Immigration Enforcement, Home Office.  For services to Border Protection and Investigations.",Kent
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Matthew CLIFFORD ,"Co-founder, Entrepreneur First.  For services to Business.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Tony CLOUGH ,"Campaigner, Changing Places. For services to People with Disabilities.",Staffordshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Andrew Brian COLE ,"Centre Manager, Touchwood Shopping Centre, Solihull. For services to the Retail Business Sector and charity in Solihull.",West Midlands
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Deloris COLLETT ,"Foster Carer, Birmingham City Council and Chair, Birmingham Foster Care Association. For services to Children and Families.",West Midlands
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Ian Richard COLMAN ,"For services to the community in Norwich, Norfolk.",Norfolk
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sally-Jane COODE DL,For services to charity and the community in Cornwall.,Cornwall
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Morna COOK ,"Senior Director of HR, Universal Music UK. For services to the Music Industry and Apprentices.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Simon Timothy COOK ,"Assistant Mayor for Business Change, Resources and The Arts, Bristol City Council. For services to Culture.",Bristol
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Gillian Margaret COONEY ,"Head of Tenancy Services, Royal Borough of Greenwich. For services to Local Government and the community in Greenwich.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John CORNALLY ,"Executive Headteacher, Blessed Thomas Holford Catholic College, Altrincham, Cheshire. For services to Education.",Lancashire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Marion Lesley CORNICK ,"Founder, The Loddon School, Sherfield-on-Loddon, Hampshire.  For services to Special Education.",Hampshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stanley COULTER ,For services to Amateur Football through Lisburn Rangers.,Antrim
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Shauna COXSEY ,Champion Climber. For services to Climbing.,South Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Cynthia CRANSTON ,"Lately Head of Service, Southern Health and Social Care Trust. For services to Occupational Therapy in Northern Ireland.",Down
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Paul John CREMIN ,"Head, Emerging Aviation Technologies, Department for Transport.  For services to Air Safety.",East Sussex
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Iain George CRIGHTON ,"Chair, Living Sport. For services to Sport in Peterborough.",Cambridgeshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Judith Lucetta CROMPTON ,"Senior Programme Manager, Environment Agency. For services to the Environment and the community in Dorset.",Dorset
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Irene CULLEN ,"Foster Carer, Newcastle City Council. For services to Children and Families.",Northumberland
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Michael CULLEN ,"Foster Carer, Newcastle City Council. For services to Children and Families.",Northumberland
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Robyn Alice Patricia DALBY-STOCKWELL ,For services to Children with Learning Difficulties.,Cambridgeshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Marion Elizabeth DALLAS ,"Chief Executive, North West Healthcare Group. For services to Healthcare and Employment in the North West of Northern Ireland.",Antrim
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Adrian Frederick Raymond DAVIES JP,For services to charity and the community in Gloucestershire.,Gloucestershire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sara DAVIES ,"Founder, Crafter's Companion. For services to the Economy.",Durham
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Christopher DAY ,For services to Architecture and Innovation.,South Glamorgan
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Alexandra DEPLEDGE ,"Co-founder and Chief Executive Officer, Hassle.com. For services to the Sharing Economy.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Allan DEVLIN ,"Chairman, Cumbernauld Community Council.  For voluntary service in Lanarkshire.",Lanarkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Rajeeb DEY ,"Founder and Chief Executive Officer, Enternships. For services to Entrepreneurship.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Alan Martin DICKIE ,"Co-Founder, BrewDog.  For services to the Brewing Industry.",Aberdeenshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Alastair McPherson DINSMOR ,"Chairman, Glasgow Police Heritage Society.  For services to Police Heritage.",Lanarkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Paul DOE ,"Chief Executive, Shepherds Bush Housing Group. For services to Housing and voluntary service to Tackling Homelessness.",Surrey
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lorraine DOOLEY ,"Co-founder and Manager, The Tower Hamlets Opportunity Group. For services to Children.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Bernadette Ann DORNAN ,"Lately Independent Reviewing Officer, Birmingham City Council. For services to Children and Families.",West Midlands
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Angela DOUGLAS ,"Scientific Director, Regional Genetics Laboratory Services.  For services to Research and Student Mentoring.",Merseyside
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Vari Macdougal DRENNAN ,"Professor of Healthcare and Policy Research, Kingston University and St George's University of London.  For services to Health Policy Research, Development and Nursing.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Richard Alexander DRISCOLL ,For services to Anti-Doping in Sport.,Surrey
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Simon Joseph DUFFY ,"Co-founder, Bulldog Skincare For Men. For services to the Beauty Industry.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Arnold Durham DUNCAN ,"For services to the Constabulary, Court Service and the community in the Shetland Isles.",Shetland
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Gordon Mervyn DUNNE ,For services to Local Government and to the community in Northern Ireland.,Down
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Susan Frances DWYER ,"Lately Manager, Wellington Avenue Methodist Friendship Centre, Picton, Liverpool. For services to Children and Families.",Merseyside
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Louise DYSON ,"Founder, VisABLE Talent Agency. For services to Disabled People in the Entertainment Industry.",Worcestershire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Patrick Denis EDGINGTON ,For services to Agriculture and the community in Pembrokeshire.,Pembrokeshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Robert John ELDRIDGE ,"Chairman of Trustees, The People's Kitchen. For services to Homeless People in the North East.",Northumberland
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sarah ELIE ,"Executive Director, Somers Town Community Association. For services to the community in Somers Town.",Essex
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William Glen ELLIOT ,For services to charity in Moray.,Moray
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Janet Michell ELLIS ,For services to charities and Theatre.,London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Merlene Toh EMERSON ,For political and public service.,London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Gary ETCHELLS ,"Police Community Support Officer, Greater Manchester Police.  For services to Policing.",Cheshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mark Nigel EVANS ,"Watch Manager, Stratton Fire Station, Wiltshire Fire and Rescue Service.  For services to Disadvantaged Young People and Community Relations in Wiltshire.",Wiltshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sally Anne EVANS ,"Co-founder, Trinity Specialist College, Birmingham.  For services to Education.",West Midlands
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Barrie EVASON ,"Founder, Jennyruth Workshop, Ripon, Yorkshire. For services to the People with Learning Disabilities in Yorkshire.",North Yorkshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Graham Andrew FAIRHALL ,For services to UK Nuclear Energy Research and Development.,Cumbria
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Helen Christine FALCON ,Lead Postgraduate Dental Dean for England. For services to Dental Education.,Buckinghamshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Basil John FARNAN ,"Forensic Medical Officer, Police Service of Northern Ireland.  For services to Forensic Medicine and the community in Northern Ireland.",Down
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Peter FARRER ,For services to Mountain Rescue in the Peak District.,Derbyshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Harriet Emma FEAR ,"Chief Executive Officer, One Nucleus.  For services to Business in the Health and Life Sciences Sectors.",Suffolk
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Rhodri Andrew FERRIER ,"Co-founder, Bulldog Skincare For Men. For services to the Beauty Industry.",London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Ronald Joseph FERRIS ,"Plumbing Lecturer, Southern Regional College.  For services to Skills Development and the community in Co. Down.",Down
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs June Anne FINNIE ,"Advanced Nurse Practitioner (Neurosurgery), Ninewells Hospital, Dundee.  For services to Healthcare.",Angus
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Malcolm George FISHER ,For services to the Heritage of Norfolk's Churches through the Norfolk Churches Trust.,Suffolk
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Sheila FITZPATRICK ,For services to Charities and Community Organisations in the UK and in Bangladesh.,London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Carol Hazel FITZSIMONS ,"Chief Executive, Young Enterprise Northern Ireland. For services to Youth Entrepreneurship and Enterprise.",Down
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Esther FLETCHER ,"Chair, West and Chester Branch, National Autistic Society.  For services to Education.",Cheshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Cdr (retd) Peter Marshall FLUTTER ,"Retired Officer, Ministry of Defence. For services in Support of Maritime Helicopter Capability.",Cornwall
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Anthony Gerard FORD ,"Watch Liaison Officer, Lancashire Constabulary Police. For services to the Police and the community in Blackburn.",Lancashire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Caroline Lesley FOX ,For services to the Athena Project and to Women in Science.,Surrey
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Rebecca Julie FRANKEL ,"Road Safety Volunteer, Northumbria Police.  For voluntary services to Road Safety Awareness, Education and Charitable Fundraising.",Northumberland
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Alison Mary FRAZER ,"Lately Chief Executive, Music in Hospitals Scotland.  For services to Patients.",Perth and Kinross
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Kirsty FREELAND ,"Family Support Manager and Manager, Children's Bereavement Service, Strathcarron Hospice. For services to the Bereaved in Central Scotland.",Perth and Kinross
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Alexandra FRENCH ,For charitable services in Surrey.,Surrey
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David John GAGE DL,For services to Business and Higher Education in Staffordshire.,Staffordshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Rosemary GALLAGHER ,"Professional Lead for Infection Prevention and Control, Royal College of Nursing.  For services to Nursing, Infection Prevention and Control.",Buckinghamshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Danielle Amanda GEORGE ,"Vice Dean for Teaching and Learning, Faculty of Engineering and Physical Sciences, University of Manchester. For services to Engineering through Public Engagement.",Cheshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Romy GILL ,"Founder, Romy's Kitchen.  For services to the Hospitality Industry.",Bristol
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Alison GILLIGAN ,"Adopter, Plymouth City Council, Devon. For services to Children.",Devon
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas GILLIGAN ,"Adopter, Plymouth City Council, Devon. For services to Children.",Devon
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Graham GOODALL ,For services to the Magistracy and the community in Staffordshire.,Staffordshire
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Michael Andrew (Mickey) GORDON ,For voluntary services to Canoeing and Young People in East London.,London
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Ruth Viviene GOULD DL,"Artistic Director, DaDaFest. For services to Disability Arts.",Merseyside
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jayne GRAHAM ,"Founder and Consultant, 2020 Consulting and Founder, Colleagues on Tap. For services to Small Businesses in the North East of England.",Tyne and Wear
2016,Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Gerald Hugh GRANT ,"Co-Founder, The Highland Cross.  For services to charity in the Highlands.",Inverness
